SITE,BRAND,NAME,ADD1,ADD2,POST CODE,24 HR,HGV,LONG,LAT,Google Maps Link
000835,GULF,NORTHDOWN S/STN (CHARING MOTORS)    ,A20 MAIDSTONE ROAD,ASHFORD,TN27 0JS  ,N,1,+000.78550,+051.21354,Google Maps Link
054640,TEXACO,HEADCORN SERVICE STATION      ,"37 STATION ROAD, HEADCORN ",ASHFORD,TN27 9SB  ,N,1,+000.62752,+051.16703,Google Maps Link
013576,ESSO,215 EAST STOUR,HYTHE ROAD,ASHFORD,TN24 8AH  ,N,0,+000.88668,+051.14592,Google Maps Link
013862,ESSO,HOTHFIELD SERVICE STATION ,MAIDSTONE ROAD A20,ASHFORD,TN26 1AP  ,N,0,+000.81549,+051.18535,Google Maps Link
012406,ESSO,ST MICHAELS SERVICE STATION   ,ASHFORD ROAD,TENTERDEN,TN30 6DD  ,N,0,+000.69289,+051.08375,Google Maps Link
012121,GULF,BARHAM SERVICES,"A260 CANTERBURY ROAD, BARHAM",CANTERBURY,CT4 6EX,N,0,+001.17796,+051.20075,Google Maps Link
013872,ESSO,LAKESIDE SERVICE STATION      ,STURRY ROAD,CANTERBURY,CT1 1DS,Y,1,+001.10002,+051.29064,Google Maps Link
005557,ESSO,WINCHEAP SERVICE STATION      ,"188 WINCHEAP ROAD, WINCHEAP",CANTERBURY,CT1 3RY,Y,0,+001.06872,+051.27227,Google Maps Link
012384,ESSO,KINGSMEAD SERVICE STATION,BROAD OAK ROAD,CANTERBURY,CT2 7PX,N,1,+001.09769,+051.29594,Google Maps Link
027463,MURCO,STONE STREET FILLING STATION,"STONE STREET, STELLING MINNIS",CANTERBURY,CT4 6DN,N,1,+001.05131,+051.15788,Google Maps Link
013854,ESSO,GATE SERVICE STATION      ,"A2 DUNKIRK, BOUGHTON BYPASS",FAVERSHAM,ME13 9LN,Y,1,+000.99497,+051.28950,Google Maps Link
013525,JET,CRUSADER 161                  ,10 BORSTAL HILL,WHITSTABLE,CT5 4LX,N,0,+001.02144,+051.35019,Google Maps Link
026243,TEXACO,RICHMOND SERVICE STATION      ,HIGH STREET,HERNE BAY,CT6 5LQ,N,0,+001.12521,+051.37179,Google Maps Link
005582,ESSO,WINSTON SERVICE STATION,224 PRINCES ROAD              ,DARTFORD                      ,DA1 2PZ,Y,0,+000.19610,+051.43993,Google Maps Link
005199,ESSO,RONTEC GREENHITHE S/STN,LONDON ROAD                   ,GREENHITHE                    ,DA9 9EJ,Y,0,+000.28729,+051.44970,Google Maps Link
009349,ESSO,MFG WALMER SERVICE STATION    ,"137 DOVER ROAD, WALMER    ",DEAL                          ,CT14 7JH,Y,0,+001.39532,+051.20663,Google Maps Link
012382,ESSO,RICHBOROUGH SERVICE STATION   ,RAMSGATE ROAD,SANDWICH                      ,CT13 9NL,N,0,+001.34836,+051.30999,Google Maps Link
050017,GULF,RICHBOROUGH SERVICE STATION   ,RAMSGATE ROAD,SANDWICH                      ,CT13 9NL,N,1,+001.34836,+051.31056,Google Maps Link
009053,GULF,TRAM ROAD SERVICE STATION     ,TRAM ROAD                     ,FOLKESTONE                    ,CT20 1TE,N,0,+001.18621,+051.08182,Google Maps Link
012462,ESSO,EUROTUNNEL SERVICE STATION    ,EGRESS ROAD                   ,FOLKESTONE                    ,CT18 8XX,Y,0,+001.12708,+051.09441,Google Maps Link
052907,TEXACO,PELHAM ROAD SERVICE STATION,58-72 PELHAM ROAD SOUTH       ,GRAVESEND                     ,DA11 8QS  ,Y,0,+000.35383,+051.43452,Google Maps Link
064315,ESSO,GRAVESEND SERVICE STATION,100 OLD ROAD WEST             ,GRAVESEND                     ,DA11 0LR  ,Y,0,+000.36079,+051.43440,Google Maps Link
013842,ESSO,MFG COBHAM LONDON ROAD,A2 TRUNK ROAD                 ,GRAVESEND                     ,DA12 3BH  ,Y,1,+000.39634,+051.40437,Google Maps Link
